advanced_priority_rank,state,city,station_name,current_aqi,current_aqi_category,forecast_aqi_next,forecast_aqi_category,forecast_aqi_change,forecast_trend,hotspot_status,advanced_priority_score,advanced_priority_category,health_exposure_risk_score,dispersion_index,satellite_aerosol_proxy_score,primary_pollution_source,recommended_intervention,lat,lon
10,Bihar,Patna,"Muradpur, Patna - BSPCB",500.0,Severe,498.7225361337761,Severe,-1.2774638662239113,Stable,Critical forecast hotspot,69.13,High,75.33,79.67,28.39,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",25.619651,85.147382
11,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",500.0,Severe,499.99923391155386,Severe,-0.0007660884461415662,Stable,Critical forecast hotspot,68.85,High,76.49,65.14,38.92,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.7808257,84.7446768
12,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",500.0,Severe,499.8574283559983,Severe,-0.1425716440016913,Stable,Critical forecast hotspot,68.36,High,78.46,58.02,41.28,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",30.379589,76.778328
13,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",500.0,Severe,487.3468963782503,Severe,-12.653103621749722,Stable,Critical forecast hotspot,68.18,High,78.46,67.25,33.84,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",31.0325454,76.5623046
14,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",500.0,Severe,499.9621589115538,Severe,-0.037841088446214144,Stable,Critical forecast hotspot,67.51,High,72.13,83.15,22.74,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.204762,85.51496
15,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",500.0,Severe,486.4307297943184,Severe,-13.569270205681619,Stable,Critical forecast hotspot,67.4,High,83.62,33.61,55.36,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.3419248,77.319699
15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",500.0,Severe,499.8770572440188,Severe,-0.12294275598122795,Stable,Critical forecast hotspot,67.4,High,78.01,54.58,41.29,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",30.649961,76.331442
16,Delhi,Delhi,"North Campus, DU, Delhi - IITM",500.0,Severe,499.9996769779674,Severe,-0.00032302203260314855,Stable,Critical forecast hotspot,66.94,High,77.16,38.96,54.54,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.6573814,77.1585447
17,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",487.55,Severe,490.1712966693584,Severe,2.6212966693584008,Stable,Critical forecast hotspot,66.86,High,80.54,40.8,50.52,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",29.503664,75.467934
18,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",456.42,Severe,460.5568989166152,Severe,4.136898916615166,Stable,Critical forecast hotspot,66.59,High,69.84,85.61,26.79,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.0328,85.41948
19,Uttar Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",500.0,Severe,499.74792624407456,Severe,-0.2520737559254371,Stable,Critical forecast hotspot,66.18,High,72.98,70.3,28.37,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.802625,78.753728
20,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",493.77,Severe,492.5773195920905,Severe,-1.1926804079095064,Stable,Critical forecast hotspot,66.13,High,83.07,35.15,49.48,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.6701,76.9254
21,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",500.0,Severe,499.537889822665,Severe,-0.46211017733497783,Stable,Critical forecast hotspot,66.01,High,79.96,33.25,53.09,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",29.14056,75.744941
21,Delhi,Delhi,"Wazirpur, Delhi - DPCC",450.19,Severe,496.1728144579638,Severe,45.9828144579638,Increasing,Critical forecast hotspot,66.01,High,75.56,39.51,52.92,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",28.699793,77.165453
22,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",500.0,Severe,499.9991231559984,Severe,-0.0008768440015956003,Stable,Critical forecast hotspot,65.36,High,78.01,38.45,48.16,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.6603346,77.3572563
23,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",500.0,Severe,499.86131586685633,Severe,-0.1386841331436699,Stable,Critical forecast hotspot,65.35,High,77.24,36.5,50.75,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.5512005,77.2735737
24,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",500.0,Severe,499.9332503113008,Severe,-0.06674968869918985,Stable,Critical forecast hotspot,64.88,High,75.88,35.64,51.31,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.5627763,77.1180053
25,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",500.0,Severe,499.80894193984346,Severe,-0.1910580601565357,Stable,Critical forecast hotspot,64.69,High,70.76,69.3,26.21,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.5687319,88.2797276
26,Bihar,Arrah,"New DM Office, Arrah - BSPCB",487.55,Severe,491.06292845581874,Severe,3.5129284558187237,Stable,Critical forecast hotspot,64.59,High,70.21,77.53,20.65,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.5626095,84.663264
27,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",443.96,Severe,473.8519263390205,Severe,29.89192633902053,Increasing,Critical forecast hotspot,64.55,High,75.2,39.47,52.01,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",28.73282,77.170633
28,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",493.77,Severe,489.6757351058083,Severe,-4.094264894191667,Stable,Critical forecast hotspot,64.49,High,70.75,67.5,28.69,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",21.613267,73.010555
29,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",432.81,Severe,426.7275716209715,Severe,-6.082428379028499,Stable,Critical forecast hotspot,64.17,High,81.26,27.26,64.4,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.4501238,77.0263051
30,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",406.6,Severe,408.44483298756825,Severe,1.8448329875682248,Stable,Critical forecast hotspot,64.01,High,66.74,79.38,35.69,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",25.697189,85.2459
31,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",500.0,Severe,499.9991231559984,Severe,-0.0008768440015956003,Stable,Critical forecast hotspot,63.85,High,73.18,57.51,30.89,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",23.023389,72.515201
32,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",412.83,Severe,426.6471963417782,Severe,13.817196341778242,Stable,Critical forecast hotspot,63.78,High,68.29,69.87,38.27,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",22.5448082,88.3403691
33,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",500.0,Severe,499.9840318329243,Severe,-0.015968167075698148,Stable,Critical forecast hotspot,63.76,High,74.12,50.42,35.85,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",30.943887,76.801991
34,Delhi,Delhi,"Pusa, Delhi - DPCC",475.09,Severe,499.9498569779674,Severe,24.85985697796741,Stable,Critical forecast hotspot,63.61,High,73.38,38.96,46.34,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.639652,77.146275
35,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",500.0,Severe,499.9991773770601,Severe,-0.0008226229398928808,Stable,Critical forecast hotspot,63.59,High,76.21,39.47,42.66,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.695381,77.181665
36,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",388.28,Very Poor,383.9598244039336,Very Poor,-4.320175596066349,Stable,Critical forecast hotspot,63.52,High,74.98,46.24,58.4,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",29.0272,77.0621
37,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",406.6,Severe,425.8336111448837,Severe,19.233611144883696,Stable,Critical forecast hotspot,63.49,High,79.54,29.15,61.49,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",26.786682,75.827928
38,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",500.0,Severe,499.9991773770601,Severe,-0.0008226229398928808,Stable,Critical forecast hotspot,63.3,High,77.58,36.89,42.37,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.6811736,77.3025234
39,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",437.74,Severe,438.2015404814113,Severe,0.4615404814113049,Stable,Critical forecast hotspot,63.23,High,66.6,82.47,24.78,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",25.592539,85.227158
40,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",456.42,Severe,463.0408127454096,Severe,6.62081274540958,Stable,Critical forecast hotspot,62.98,High,66.63,64.58,35.41,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.220833,84.809444
41,Uttar Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",481.32,Severe,479.5153521535092,Severe,-1.8046478464908091,Stable,Critical forecast hotspot,62.83,High,71.43,49.88,39.51,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.999264,77.7590354
42,Delhi,Delhi,"Rohini, Delhi - DPCC",500.0,Severe,499.9991773770601,Severe,-0.0008226229398928808,Stable,Critical forecast hotspot,62.63,High,73.75,39.51,41.87,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.732528,77.11992
43,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",456.42,Severe,480.4212975853671,Severe,24.00129758536707,Stable,Critical forecast hotspot,62.32,High,71.35,57.01,31.17,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",26.8458805,80.9365541
44,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB",500.0,Severe,498.0704473243831,Severe,-1.9295526756168897,Stable,Critical forecast hotspot,61.68,High,71.9,41.02,39.28,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",20.48891,85.84768
45,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",500.0,Severe,465.7394271929824,Severe,-34.26057280701758,Decreasing,Critical forecast hotspot,61.66,High,70.21,40.15,45.83,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",16.5150833,80.5181667
46,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",500.0,Severe,498.9251144671094,Severe,-1.0748855328906188,Stable,Critical forecast hotspot,61.64,High,67.51,67.94,19.86,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.560083,87.553265
47,Uttar Pradesh,Noida,"Sector - 62, Noida - IITM",487.55,Severe,472.4714018718767,Severe,-15.078598128123303,Stable,Critical forecast hotspot,61.38,High,74.15,38.45,41.74,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.6245479,77.3577104
48,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",406.6,Severe,401.7788500183151,Severe,-4.8211499816849255,Stable,Critical forecast hotspot,61.34,High,62.16,86.92,25.09,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",26.10887,91.589544
49,Uttar Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",475.09,Severe,482.94121880434494,Severe,7.851218804344967,Stable,Critical forecast hotspot,61.29,High,72.05,38.45,42.79,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.646233,77.358075
50,Delhi,Delhi,"Burari Crossing, Delhi - IITM",500.0,Severe,499.9991773770601,Severe,-0.0008226229398928808,Stable,Critical forecast hotspot,61.24,High,74.12,39.47,36.28,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.7256504,77.2011573
51,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",475.09,Severe,499.4592129984306,Severe,24.369212998430612,Stable,Critical forecast hotspot,61.07,High,74.49,37.74,36.79,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.60909,77.0325413
52,Uttar Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",500.0,Severe,499.9991231559984,Severe,-0.0008768440015956003,Stable,Critical forecast hotspot,61.06,High,70.04,48.88,31.83,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.9535882,77.7622941
53,Uttar Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",456.42,Severe,465.9679110703988,Severe,9.547911070398811,Stable,Critical forecast hotspot,61.05,High,70.67,37.46,47.41,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.757294,77.278792
54,Uttar Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",400.0,Very Poor,458.8144457142855,Severe,58.81444571428551,Increasing,Critical forecast hotspot,61.0,High,67.16,44.32,46.18,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.685382,77.453839
55,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",412.83,Severe,429.1637315458931,Severe,16.3337315458931,Stable,Critical forecast hotspot,60.96,High,64.31,71.6,30.26,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",25.586562,85.043586
56,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",500.0,Severe,499.94379959928233,Severe,-0.05620040071767107,Stable,Critical forecast hotspot,60.88,High,73.89,37.46,37.04,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.710508,77.249485
57,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",487.55,Severe,465.22475701031374,Severe,-22.325242989686274,Stable,Critical forecast hotspot,60.69,High,68.0,67.92,20.58,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",30.719859,76.738637
58,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",500.0,Severe,499.99923391155386,Severe,-0.0007660884461415662,Stable,Critical forecast hotspot,60.43,High,70.67,53.48,24.6,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.366336,87.117468
59,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro",500.0,Severe,499.9996227569056,Severe,-0.00037724309441955484,Stable,Critical forecast hotspot,60.37,High,69.09,46.15,32.75,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.248853,70.776774
60,Uttar Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",437.74,Severe,437.79872531817216,Severe,0.058725318172150764,Stable,Critical forecast hotspot,60.34,High,64.15,71.67,26.6,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.856664,78.772638
61,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",500.0,Severe,484.7534285474855,Severe,-15.246571452514502,Stable,Critical forecast hotspot,60.31,High,74.29,34.9,38.58,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.4417,77.3217
62,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",500.0,Severe,493.0612531057588,Severe,-6.938746894241206,Stable,Critical forecast hotspot,60.25,High,68.27,51.67,29.13,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",12.9756843,77.5660749
62,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",443.96,Severe,447.9628141981621,Severe,4.0028141981621275,Stable,Critical forecast hotspot,60.25,High,65.03,66.64,27.9,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",31.321907,75.578914
63,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",500.0,Severe,499.9403384881712,Severe,-0.05966151182877866,Stable,Critical forecast hotspot,60.22,High,72.67,35.19,37.99,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.58028,77.233829
64,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",468.87,Severe,466.0777375085159,Severe,-2.7922624914841094,Stable,Critical forecast hotspot,60.03,High,66.68,62.21,25.76,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",30.736056,76.209694
65,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",500.0,Severe,499.916302089142,Severe,-0.08369791085800671,Stable,Critical forecast hotspot,59.86,Moderate,73.3,32.03,38.75,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",26.960669,75.771817
66,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",382.43,Very Poor,390.4863533333335,Very Poor,8.056353333333504,Stable,Critical forecast hotspot,59.66,Moderate,68.73,36.89,58.56,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",28.647622,77.315809
67,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",500.0,Severe,497.3492461184284,Severe,-2.6507538815715748,Stable,Critical forecast hotspot,59.49,Moderate,70.19,42.66,31.69,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",19.9629,79.298714
68,Delhi,Delhi,"Mundka, Delhi - DPCC",443.96,Severe,422.2570547848288,Severe,-21.702945215171155,Stable,Critical forecast hotspot,59.09,Moderate,67.03,37.6,50.74,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.684678,77.076574
69,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",394.14,Very Poor,400.4990751587302,Severe,6.359075158730207,Stable,Critical forecast hotspot,59.02,Moderate,58.25,73.87,33.07,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",26.6879226,88.4152495
70,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",425.28,Severe,378.3099221693121,Very Poor,-46.9700778306879,Decreasing,Critical forecast hotspot,58.97,Moderate,62.42,73.38,29.81,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",24.792403,84.992416
71,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",475.09,Severe,486.85420767535874,Severe,11.764207675358762,Stable,Critical forecast hotspot,58.96,Moderate,70.74,36.89,36.27,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.615828,77.271992
72,Uttar Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",431.51,Severe,431.1430891926511,Severe,-0.36691080734891557,Stable,Critical forecast hotspot,58.8,Moderate,66.38,63.74,26.6,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",26.86812,81.005119
73,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",500.0,Severe,487.9623833333332,Severe,-12.037616666666793,Stable,Critical forecast hotspot,58.77,Moderate,70.01,47.95,25.6,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",22.320153,73.216285
74,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",324.79,Very Poor,331.0978835875142,Very Poor,6.307883587514198,Stable,Critical forecast hotspot,58.68,Moderate,62.9,63.61,48.29,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",30.1480566,77.2893471
75,Delhi,Delhi,"Alipur, Delhi - DPCC",412.83,Severe,425.5442250072148,Severe,12.714225007214793,Stable,Critical forecast hotspot,58.62,Moderate,65.52,42.6,46.87,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.815329,77.15301
76,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",500.0,Severe,499.9991773770601,Severe,-0.0008226229398928808,Stable,Critical forecast hotspot,58.59,Moderate,73.0,36.89,30.0,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.656756,77.227234
77,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",370.71,Very Poor,371.6471210776792,Very Poor,0.9371210776791941,Stable,Critical forecast hotspot,58.49,Moderate,62.17,69.0,36.24,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",31.62,74.876512
